"group","lon","lat","species","subspecies","ID"
"Gulf",-96.408333,18.258333,"rufivirgatus","ruf_crassirostris",7463
"Gulf",-95.31666667,18.55,"rufivirgatus","ruf_crassirostris",713
"Gulf",-96.900692,18.834301,"rufivirgatus","ruf_crassirostris",8563
"Gulf",-96.403952,18.231069,"rufivirgatus","ruf_crassirostris",8569
"Gulf",-96.18333,18.05,"rufivirgatus","ruf_crassirostris",8656
"Gulf",-95.0521,17.3343,"rufivirgatus","ruf_crassirostris",8545
"Gulf",-96.3065015,18.2711884,"rufivirgatus","ruf_crassirostris",49386
"Gulf",-96.1526871,18.0592876,"rufivirgatus","ruf_crassirostris",53461
"Gulf",-95.9892979,18.9551246,"rufivirgatus","ruf_crassirostris",54104
"Gulf",-96.03763,17.84723,"rufivirgatus","ruf_crassirostris",55631
"Gulf",-96.1990666,17.8451832,"rufivirgatus","ruf_crassirostris",55746
"Gulf",-96.8039571,19.5139504,"rufivirgatus","ruf_crassirostris",56103
"Gulf",-96.9455374,19.5346141,"rufivirgatus","ruf_crassirostris",57161
"Gulf",-96.7188946,19.3535129,"rufivirgatus","ruf_crassirostris",58567
"Gulf",-96.32749,18.14548,"rufivirgatus","ruf_crassirostris",61171
"Gulf",-94.4433689,17.2763008,"rufivirgatus","ruf_crassirostris",62088
"Gulf",-96.890872,18.8285828,"rufivirgatus","ruf_crassirostris",62757
"Gulf",-95.04174,18.35798,"rufivirgatus","ruf_crassirostris",65623
"Gulf",-96.2271594,18.0504537,"rufivirgatus","ruf_crassirostris",68620
"Gulf",-96.6962164,19.4253553,"rufivirgatus","ruf_crassirostris",70922
"Gulf",-96.2921272,17.5696004,"rufivirgatus","ruf_crassirostris",71877
"Gulf",-95.11652,18.24672,"rufivirgatus","ruf_crassirostris",71907
"Gulf",-94.9838018,16.9556952,"rufivirgatus","ruf_crassirostris",73521
"Gulf",-94.9428767,17.2973392,"rufivirgatus","ruf_crassirostris",74804
"Gulf",-95.182681,18.4590689,"rufivirgatus","ruf_crassirostris",74837
"Gulf",-94.4219389,17.3852114,"rufivirgatus","ruf_crassirostris",75598
"Gulf",-95.136645,18.5277621,"rufivirgatus","ruf_crassirostris",76430
"Gulf",-96.820827,19.448501,"rufivirgatus","ruf_crassirostris",8904
"Gulf",-96.79873,19.45735,"rufivirgatus","ruf_crassirostris",9021
"Gulf",-94.98094,18.39295,"rufivirgatus","ruf_crassirostris",77652
"Gulf",-96.7372048,18.8726054,"rufivirgatus","ruf_crassirostris",82820
"Gulf",-95.8659267,18.7515289,"rufivirgatus","ruf_crassirostris",96850
"Gulf",-96.8764114,18.9169396,"rufivirgatus","ruf_crassirostris",97935
"Gulf",-96.8801236,18.9093315,"rufivirgatus","ruf_crassirostris",101207
"Gulf",-96.8360571,19.4780288,"rufivirgatus","ruf_crassirostris",102686
"Gulf",-94.8362485,18.1600758,"rufivirgatus","ruf_crassirostris",103613
"Gulf",-96.219684,17.86016,"rufivirgatus","ruf_crassirostris",106915
"Gulf",-94.765931,17.123674,"rufivirgatus","ruf_crassirostris",107634
"Gulf",-96.742698,19.538619,"rufivirgatus","ruf_crassirostris",108339
"Gulf",-96.3868332,19.5766118,"rufivirgatus","ruf_crassirostris",114861
"Gulf",-95.12758,18.54533,"rufivirgatus","ruf_crassirostris",115920
"Gulf",-95.1701048,18.4898173,"rufivirgatus","ruf_crassirostris",117003
"Gulf",-96.33057,17.7290815,"rufivirgatus","ruf_crassirostris",119721
"Gulf",-96.2904529,17.8130301,"rufivirgatus","ruf_crassirostris",120964
"Gulf",-95.2557227,18.5920356,"rufivirgatus","ruf_crassirostris",122117
"Gulf",-96.2368904,17.861922,"rufivirgatus","ruf_crassirostris",123881
"Gulf",-96.707083,19.3761275,"rufivirgatus","ruf_crassirostris",126443
"Gulf",-96.7595382,19.3263279,"rufivirgatus","ruf_crassirostris",131039
"Gulf",-94.769159,17.226459,"rufivirgatus","ruf_crassirostris",134161
"Gulf",-96.733735,19.347812,"rufivirgatus","ruf_crassirostris",134909
"Gulf",-96.301081,17.793878,"rufivirgatus","ruf_crassirostris",136364
"Gulf",-96.5652899,19.3959594,"rufivirgatus","ruf_crassirostris",160899
"Gulf",-96.5510242,19.20609,"rufivirgatus","ruf_crassirostris",162229
"Gulf",-95.1801887,18.3636904,"rufivirgatus","ruf_crassirostris",165020
"Gulf",-96.9365667,19.4288041,"rufivirgatus","ruf_crassirostris",172948
"Gulf",-96.0014983,17.8923663,"rufivirgatus","ruf_crassirostris",173693
"Gulf",-96.9584588,19.5053044,"rufivirgatus","ruf_crassirostris",136029
"Gulf",-96.4634017,19.3454767,"rufivirgatus","ruf_crassirostris",141588
"Gulf",-98.22166667,20.44666667,"rufivirgatus","ruf_ridgwayi",494
"Gulf",-99.150389,23.049889,"rufivirgatus","ruf_ridgwayi",7334
"Gulf",-99.325623,22.504732,"rufivirgatus","ruf_ridgwayi",8686
"Gulf",-99.1,23,"rufivirgatus","ruf_ridgwayi",8687
"Gulf",-98.4,23.660278,"rufivirgatus","ruf_ridgwayi",7212
"Gulf",-98.98022222,21.21405556,"rufivirgatus","ruf_ridgwayi",1100
"Gulf",-99.470722,21.649528,"rufivirgatus","ruf_ridgwayi",7733
"Gulf",-96.769317,19.935922,"rufivirgatus","ruf_ridgwayi",7786
"Gulf",-96.864872,19.896305,"rufivirgatus","ruf_ridgwayi",7782
"Gulf",-98.9319404,23.9339051,"rufivirgatus","ruf_ridgwayi",50387
"Gulf",-99.0915194,23.0312556,"rufivirgatus","ruf_ridgwayi",48944
"Gulf",-99.3838584,22.5863686,"rufivirgatus","ruf_ridgwayi",49274
"Gulf",-99.0184879,21.9767575,"rufivirgatus","ruf_ridgwayi",50631
"Gulf",-98.8201332,23.419445,"rufivirgatus","ruf_ridgwayi",50381
"Gulf",-99.2805719,22.4681292,"rufivirgatus","ruf_ridgwayi",50760
"Gulf",-99.1427332,23.1122103,"rufivirgatus","ruf_ridgwayi",49536
"Gulf",-99.4206047,22.4930502,"rufivirgatus","ruf_ridgwayi",51220
"Gulf",-98.9293999,22.7436478,"rufivirgatus","ruf_ridgwayi",50555
"Gulf",-98.5995483,23.5816088,"rufivirgatus","ruf_ridgwayi",52190
"Gulf",-99.1935396,23.6916909,"rufivirgatus","ruf_ridgwayi",48091
"Gulf",-99.1686916,23.0545804,"rufivirgatus","ruf_ridgwayi",50969
"Gulf",-99.4527054,22.4976496,"rufivirgatus","ruf_ridgwayi",50964
"Gulf",-99.1964793,23.0610167,"rufivirgatus","ruf_ridgwayi",49151
"Gulf",-99.1978182,23.6548443,"rufivirgatus","ruf_ridgwayi",49997
"Gulf",-99.123457,23.063092,"rufivirgatus","ruf_ridgwayi",50638
"Gulf",-98.045188,22.914689,"rufivirgatus","ruf_ridgwayi",51742
"Gulf",-99.4082,22.0139067,"rufivirgatus","ruf_ridgwayi",52322
"Gulf",-99.4161361,22.4796824,"rufivirgatus","ruf_ridgwayi",52742
"Gulf",-99.4798436,22.473435,"rufivirgatus","ruf_ridgwayi",52849
"Gulf",-97.819519,21.5265011,"rufivirgatus","ruf_ridgwayi",53403
"Gulf",-97.4431,21.0631167,"rufivirgatus","ruf_ridgwayi",53478
"Gulf",-99.607648,22.4006863,"rufivirgatus","ruf_ridgwayi",53922
"Gulf",-98.999029,23.320607,"rufivirgatus","ruf_ridgwayi",55181
"Gulf",-98.9868164,22.7480055,"rufivirgatus","ruf_ridgwayi",55295
"Gulf",-99.33583,22.84444,"rufivirgatus","ruf_ridgwayi",55615
"Gulf",-99.1991401,23.7810643,"rufivirgatus","ruf_ridgwayi",56452
"Gulf",-99.1210985,24.0624921,"rufivirgatus","ruf_ridgwayi",57771
"Gulf",-99.2978668,23.0203401,"rufivirgatus","ruf_ridgwayi",58197
"Gulf",-99.254957,23.0467283,"rufivirgatus","ruf_ridgwayi",58440
"Gulf",-97.2216225,20.3568589,"rufivirgatus","ruf_ridgwayi",59015
"Gulf",-98.2491529,22.863749,"rufivirgatus","ruf_ridgwayi",59238
"Gulf",-99.371075,22.5167394,"rufivirgatus","ruf_ridgwayi",59494
"Gulf",-97.5256348,20.0191616,"rufivirgatus","ruf_ridgwayi",59563
"Gulf",-99.3661451,22.495905,"rufivirgatus","ruf_ridgwayi",59746
"Gulf",-99.0558028,23.9664896,"rufivirgatus","ruf_ridgwayi",59803
"Gulf",-99.512774,22.930988,"rufivirgatus","ruf_ridgwayi",59852
"Gulf",-99.2015,23.697,"rufivirgatus","ruf_ridgwayi",60499
"Gulf",-98.5667574,21.0475751,"rufivirgatus","ruf_ridgwayi",62935
"Gulf",-97.3471606,20.458769,"rufivirgatus","ruf_ridgwayi",64003
"Gulf",-98.9562044,21.4451268,"rufivirgatus","ruf_ridgwayi",73258
"Gulf",-98.8686054,21.1566542,"rufivirgatus","ruf_ridgwayi",73556
"Gulf",-98.957778,22.090833,"rufivirgatus","ruf_ridgwayi",7347
"Gulf",-99.055555,22.218611,"rufivirgatus","ruf_ridgwayi",7360
"Gulf",-98.931667,22.231944,"rufivirgatus","ruf_ridgwayi",7367
"Gulf",-98.941111,22.227778,"rufivirgatus","ruf_ridgwayi",7408
"Gulf",-98.944722,22.185278,"rufivirgatus","ruf_ridgwayi",7356
"Gulf",-98.968055,22.279444,"rufivirgatus","ruf_ridgwayi",7394
"Gulf",-99.217201,22.5364727,"rufivirgatus","ruf_ridgwayi",86674
"Gulf",-98.8738558,23.3244513,"rufivirgatus","ruf_ridgwayi",87107
"Gulf",-99.0953493,22.9896863,"rufivirgatus","ruf_ridgwayi",89806
"Gulf",-99.39167,21.92028,"rufivirgatus","ruf_ridgwayi",91360
"Gulf",-99.0979671,21.2415424,"rufivirgatus","ruf_ridgwayi",92775
"Gulf",-99.2082328,23.0578282,"rufivirgatus","ruf_ridgwayi",93173
"Gulf",-99.1650324,23.7468629,"rufivirgatus","ruf_ridgwayi",99276
"Gulf",-99.1530787,23.7229419,"rufivirgatus","ruf_ridgwayi",99841
"Gulf",-99.1394234,22.0980067,"rufivirgatus","ruf_ridgwayi",102565
"Gulf",-99.1086,23.6477,"rufivirgatus","ruf_ridgwayi",103662
"Gulf",-99.180074,21.469472,"rufivirgatus","ruf_ridgwayi",106735
"Gulf",-99.171185,21.524075,"rufivirgatus","ruf_ridgwayi",107833
"Gulf",-98.878026,23.4422227,"rufivirgatus","ruf_ridgwayi",108774
"Gulf",-99.3985363,21.9291966,"rufivirgatus","ruf_ridgwayi",111441
"Gulf",-97.7823865,23.3505893,"rufivirgatus","ruf_ridgwayi",111770
"Gulf",-99.3806535,21.8781635,"rufivirgatus","ruf_ridgwayi",117340
"Gulf",-98.8940444,22.1643111,"rufivirgatus","ruf_ridgwayi",118140
"Gulf",-98.507984,23.809435,"rufivirgatus","ruf_ridgwayi",119818
"Gulf",-97.725668,21.0078246,"rufivirgatus","ruf_ridgwayi",121908
"Gulf",-99.100697,23.016254,"rufivirgatus","ruf_ridgwayi",122858
"Gulf",-99.1731318,23.8452158,"rufivirgatus","ruf_ridgwayi",124302
"Gulf",-98.460314,21.9923312,"rufivirgatus","ruf_ridgwayi",130357
"Gulf",-98.5992937,21.0439004,"rufivirgatus","ruf_ridgwayi",135274
"Gulf",-98.9767191,23.4839635,"rufivirgatus","ruf_ridgwayi",136221
"Gulf",-98.8001952,22.0390569,"rufivirgatus","ruf_ridgwayi",139293
"Gulf",-99.1869413,23.7933157,"rufivirgatus","ruf_ridgwayi",140245
"Gulf",-99.2251568,23.5885025,"rufivirgatus","ruf_ridgwayi",141921
"Gulf",-97.2649972,20.6152007,"rufivirgatus","ruf_ridgwayi",145425
"Gulf",-98.9584494,23.408515,"rufivirgatus","ruf_ridgwayi",145529
"Gulf",-98.1038926,22.4958742,"rufivirgatus","ruf_ridgwayi",147307
"Gulf",-99.4195089,21.8704816,"rufivirgatus","ruf_ridgwayi",149963
"Gulf",-98.4926646,23.8996423,"rufivirgatus","ruf_ridgwayi",154076
"Gulf",-98.9783825,23.3918222,"rufivirgatus","ruf_ridgwayi",155529
"Gulf",-99.055628,22.169645,"rufivirgatus","ruf_ridgwayi",155758
"Gulf",-97.3533222,20.9708635,"rufivirgatus","ruf_ridgwayi",160660
"Gulf",-98.9744672,21.4789912,"rufivirgatus","ruf_ridgwayi",160768
"Gulf",-98.8985746,23.7848739,"rufivirgatus","ruf_ridgwayi",160880
"Gulf",-97.62685,20.11907,"rufivirgatus","ruf_ridgwayi",78088
"Gulf",-99.2168856,23.0608588,"rufivirgatus","ruf_ridgwayi",98613
"Gulf",-98.214165,20.343944,"rufivirgatus","ruf_ridgwayi",99679
"Gulf",-97.0669389,20.0614679,"rufivirgatus","ruf_ridgwayi",101872
"Gulf",-97.512166,20.008763,"rufivirgatus","ruf_ridgwayi",106545
"Gulf",-99.2401,23.617,"rufivirgatus","ruf_ridgwayi",144899
"Gulf",-98.9753597,21.3407611,"rufivirgatus","ruf_ridgwayi",149213
"Gulf",-99.0526696,21.3428649,"rufivirgatus","ruf_ridgwayi",149716
"Gulf",-97.55065,20.0297192,"rufivirgatus","ruf_ridgwayi",160414
"Gulf",-99.2286551,23.057305,"rufivirgatus","ruf_ridgwayi",165220
"Gulf",-99.2426,23.6288,"rufivirgatus","ruf_ridgwayi",171942
"Gulf",-99.254927,26.906939,"rufivirgatus","ruf_rufivirgatus",7274
"Gulf",-100.89639,29.317418,"rufivirgatus","ruf_rufivirgatus",7277
"Gulf",-100.0883333,25.54166667,"rufivirgatus","ruf_rufivirgatus",365
"Gulf",-99.260635,26.878649,"rufivirgatus","ruf_rufivirgatus",2910
"Gulf",-100.885635,29.37047,"rufivirgatus","ruf_rufivirgatus",8381
"Gulf",-99.163603,26.55775,"rufivirgatus","ruf_rufivirgatus",8601
"Gulf",-99.8852,27.8777,"rufivirgatus","ruf_rufivirgatus",2647
"Gulf",-99.7862,29.2097,"rufivirgatus","ruf_rufivirgatus",3265
"Gulf",-97.360962,26.22732,"rufivirgatus","ruf_rufivirgatus",5160
"Gulf",-97.5944,27.83892,"rufivirgatus","ruf_rufivirgatus",8211
"Gulf",-99.11221,26.51644,"rufivirgatus","ruf_rufivirgatus",1281
"Gulf",-97.497459,25.90176,"rufivirgatus","ruf_rufivirgatus",8193
"Gulf",-100.341111,25.606111,"rufivirgatus","ruf_rufivirgatus",8282
"Gulf",-97.86379,27.513073,"rufivirgatus","ruf_rufivirgatus",8363
"Gulf",-99.12311,26.55893,"rufivirgatus","ruf_rufivirgatus",1765
"Gulf",-99.2702,26.9016,"rufivirgatus","ruf_rufivirgatus",8505
"Gulf",-97.348137,26.227604,"rufivirgatus","ruf_rufivirgatus",3855
"Gulf",-97.3939785,25.9380025,"rufivirgatus","ruf_rufivirgatus",48939
"Gulf",-100.4185581,29.3048877,"rufivirgatus","ruf_rufivirgatus",51354
"Gulf",-99.9481201,29.0141453,"rufivirgatus","ruf_rufivirgatus",48514
"Gulf",-99.1414618,26.5549779,"rufivirgatus","ruf_rufivirgatus",49406
"Gulf",-99.0910149,26.476905,"rufivirgatus","ruf_rufivirgatus",49597
"Gulf",-99.1266559,26.5304031,"rufivirgatus","ruf_rufivirgatus",51849
"Gulf",-97.7751016,26.7868236,"rufivirgatus","ruf_rufivirgatus",48351
"Gulf",-97.8960804,27.5210026,"rufivirgatus","ruf_rufivirgatus",49706
"Gulf",-100.9042858,29.3618241,"rufivirgatus","ruf_rufivirgatus",50767
"Gulf",-97.4116516,25.8650161,"rufivirgatus","ruf_rufivirgatus",51661
"Gulf",-97.1748233,26.1400912,"rufivirgatus","ruf_rufivirgatus",48646
"Gulf",-97.81497,27.29862,"rufivirgatus","ruf_rufivirgatus",50435
"Gulf",-99.092474,26.4860407,"rufivirgatus","ruf_rufivirgatus",51103
"Gulf",-97.8555253,27.4774824,"rufivirgatus","ruf_rufivirgatus",48294
"Gulf",-98.3394384,28.4717282,"rufivirgatus","ruf_rufivirgatus",49071
"Gulf",-98.3856583,28.5233043,"rufivirgatus","ruf_rufivirgatus",50635
"Gulf",-97.3830271,26.2579354,"rufivirgatus","ruf_rufivirgatus",48656
"Gulf",-100.2580226,25.5655468,"rufivirgatus","ruf_rufivirgatus",49963
"Gulf",-97.5767899,26.4893186,"rufivirgatus","ruf_rufivirgatus",50046
