species,lon,lat
Gulf,-98.0291541,28.2556958
Gulf,-97.333237,25.951759
Gulf,-98.330528,28.448082
Gulf,-99.1507316,28.5470755
Gulf,-100.2183259,25.6766895
Gulf,-98.8254773,26.3818685
Gulf,-97.9416883,28.2793391
Gulf,-98.267169,27.5058632
Gulf,-100.3495932,25.6153703
Gulf,-99.6774101,26.819609
Gulf,-97.799536,23.061879
Gulf,-98.650695,27.297374
Gulf,-98.9277649,22.2566903
Gulf,-95.9789228,18.9418484
Gulf,-98.3798218,26.8044608
Gulf,-101.12,27.867
Gulf,-98.542059,26.51179
Gulf,-99.1472332,29.6397101
Gulf,-98.1471708,28.4862246
Gulf,-97.481793,25.880653
Gulf,-98.580738,25.1228691
Gulf,-96.3285873,17.7411114
Gulf,-98.5112027,27.9509824
Gulf,-98.0982971,26.5418515
Gulf,-99.0989542,21.5997255
Gulf,-98.574772,29.6552334
Gulf,-97.8146911,26.2116649
Gulf,-97.6644868,26.5335948
Gulf,-98.119415,26.809371
Gulf,-98.391795,26.237493
Gulf,-100.5382227,29.1283216
Gulf,-100.9958791,29.8961309
Gulf,-100.1616328,29.2273369
Gulf,-98.3782768,28.5009798
Gulf,-98.1066656,26.4472418
Gulf,-98.32702,26.21828
Gulf,-94.9777842,18.361067
Gulf,-98.0576363,26.1184726
Gulf,-98.1218398,28.4179274
Gulf,-100.499824,29.4519581
Gulf,-99.6844482,28.5036952
Gulf,-97.9268503,26.2970316
Gulf,-99.5619548,22.9138604
Gulf,-98.9315249,23.4048012
Gulf,-99.1633889,28.5614167
Gulf,-98.029127,28.7424583
Gulf,-96.933333,19.383333
Gulf,-97.3676795,26.0493515
Gulf,-99.1643495,27.563092
Gulf,-97.7288818,26.8020093
Gulf,-100.4845426,25.6164311
Gulf,-98.6413908,28.7287542
Gulf,-97.3824692,26.215207
Gulf,-98.1464911,27.7187889
Gulf,-98.190845,26.502728
Gulf,-100.2420935,25.6416434
Gulf,-97.2608417,25.9954025
Gulf,-100.084631,25.221001
Gulf,-99.2624988,27.5228689
Gulf,-97.5273225,21.0725577
Gulf,-100.061123,25.784532
Gulf,-100.0950599,25.7811785
Gulf,-100.9498501,29.3633263
Gulf,-99.24677,28.27446
Gulf,-97.510002,26.129999
Gulf,-99.1070086,26.6444165
Gulf,-96.7995071,19.4833036
Gulf,-96.2524199,18.01221
Gulf,-98.27569,28.39465
Gulf,-99.3853712,22.4923183
Gulf,-100.3309102,25.6404488
Gulf,-98.317542,28.743853
Gulf,-97.693253,27.793388
Gulf,-100.1983064,25.5975349
Gulf,-97.5832701,26.1999429
Gulf,-97.73137,26.186531
Gulf,-97.9422998,28.2076842
Gulf,-100.254434,25.658373
Gulf,-99.5235264,27.5085379
Gulf,-98.933464,27.159116
Gulf,-99.689187,27.666183
Gulf,-97.393444,25.965851
Gulf,-99.713211,29.536276
Gulf,-98.9664638,22.9435005
Gulf,-97.908228,27.568338
Gulf,-98.0463192,26.5127827
Gulf,-100.4993138,29.2066929
Gulf,-96.876449,18.9270674
Gulf,-96.3202286,17.7044515
Gulf,-99.7200251,29.4997517
Gulf,-98.232374,26.2354204
Gulf,-98.0280144,27.49801
Gulf,-98.058518,22.998873
Gulf,-97.9138362,26.1375436
Gulf,-99.6650667,24.7348958
Gulf,-96.7517049,19.4393032
Gulf,-98.6064862,28.9592649
Gulf,-100.36142,25.630482
Gulf,-96.5434192,19.2156773
Gulf,-99.7679186,29.1837889
Gulf,-100.4449336,28.6247758
Gulf,-99.995641,29.550254
Gulf,-98.3866882,28.6753021
Gulf,-95.2482965,18.57422
Gulf,-97.8272527,27.3764968
Gulf,-100.8915138,29.3573418
Gulf,-99.5457923,21.900677
Gulf,-99.1321389,28.5549167
Gulf,-95.0369089,18.5184959
Gulf,-96.9936991,19.4018561
Gulf,-100.1150747,25.9144367
Gulf,-100.03435,29.72522
Gulf,-98.9257322,28.9717006
Gulf,-98.959444,22.186944
