species,lon,lat
Gulf,-97.776769,28.548592
Gulf,-98.44506,28.786384
Gulf,-99.310273,28.0434064
Gulf,-100.1548004,29.7774898
Gulf,-97.5430512,28.6720131
Gulf,-97.75513,27.29673
Gulf,-100.1062524,25.7427132
Gulf,-100.429563,29.653618
Gulf,-99.1356094,27.2100551
Gulf,-100.5902811,26.5456317
Gulf,-97.9219456,26.0682914
Gulf,-97.444947,25.975209
Gulf,-97.34285,26.218443
Gulf,-98.787815,25.7199517
Gulf,-99.2294383,23.0457743
Gulf,-97.917881,28.0447128
Gulf,-99.54036,27.6187523
Gulf,-97.4089754,25.9049112
Gulf,-100.9911346,29.8747365
Gulf,-97.9101563,27.4220619
Gulf,-97.8461434,26.491491
Gulf,-99.866721,27.82451
Gulf,-97.9447043,28.5867133
Gulf,-99.563942,27.6084089
Gulf,-99.02553,26.439332
Gulf,-98.4574127,28.5211927
Gulf,-100.0520182,25.7813824
Gulf,-97.228651,26.04102
Gulf,-99.3538713,28.024485
Gulf,-97.9020717,28.6101895
Gulf,-97.3254776,20.3539619
Gulf,-101.5563297,29.8039702
Gulf,-98.23888,27.7639
Gulf,-98.975099,27.470427
Gulf,-99.2539907,26.8606609
Gulf,-97.480279,26.60574
Gulf,-98.0329056,26.9461731
Gulf,-97.7925174,26.0657612
Gulf,-99.663863,24.717886
Gulf,-97.6641657,26.1857402
Gulf,-97.850349,26.118827
Gulf,-98.1182581,26.1975385
Gulf,-97.7590942,29.1782435
Gulf,-99.23972,25.70556
Gulf,-98.2757511,28.3820929
Gulf,-99.2940302,28.5388112
Gulf,-97.9558396,28.1106112
Gulf,-96.8242264,28.4907209
Gulf,-98.1434501,26.9808264
Gulf,-98.200123,28.4775179
Gulf,-98.9341636,26.939818
Gulf,-97.908228,27.568338
Gulf,-99.1472332,29.6397101
Gulf,-99.0029055,23.3524385
Gulf,-99.0838013,26.4069004
Gulf,-97.34556,25.95483
Gulf,-99.3762367,27.4796749
Gulf,-97.4839532,25.9052667
Gulf,-98.8307276,26.6914932
Gulf,-97.664332,28.2694631
Gulf,-94.96277778,18.43886111
