species,lon,lat
Pacific,-93.12,16.87
Pacific,-92.1446943,16.2817241
Pacific,-85.7918509,10.5084795
Pacific,-96.2339603,15.6928954
Pacific,-85.9483411,11.9306354
Pacific,-85.196451,9.800773
Pacific,-106.139998,23.227529
Pacific,-105.3282643,20.3011349
Pacific,-86.2484694,11.8461831
Pacific,-106.1419415,23.2161067
Pacific,-91.8402925,15.7296267
Pacific,-103.8682385,19.0305912
Pacific,-85.0386,9.7269
Pacific,-84.7084844,9.9289343
Pacific,-96.5267,15.6656
Pacific,-93.4534388,16.9224718
Pacific,-107.010956,24.166802
Pacific,-93.4621096,16.9309925
Pacific,-85.1768603,9.7029911
Pacific,-98.74725,16.836167
Pacific,-85.598796,10.703411
Pacific,-85.4603666,10.619042
Pacific,-93.1464404,16.7365987
Pacific,-93.3570099,16.8084028
Pacific,-84.605589,9.8001476
Pacific,-86.010243,11.854263
Pacific,-84.64856,10.1193998
Pacific,-85.39245,10.0207
Pacific,-84.9086238,10.2946693
Pacific,-85.1038692,9.639498
Pacific,-85.2629466,9.8639555
Pacific,-84.612687,10.0810964
Pacific,-85.5968857,10.192199
Pacific,-85.374107,9.897864
Pacific,-85.3873783,10.0287956
Pacific,-85.565373,9.972693
Pacific,-84.5875305,9.8883665
Pacific,-85.544481,9.877777
Pacific,-85.078,9.615
Pacific,-85.4802455,10.858881
Pacific,-99.827925,17.243138
Pacific,-85.2502323,10.0414694
Pacific,-85.3519034,10.532982
Pacific,-101.5446517,17.61952
Pacific,-85.0143374,10.1567624
Pacific,-106.6723652,23.6372276
Pacific,-85.3343,10.3834
Pacific,-85.011692,9.746655
Pacific,-85.0616321,9.942016
Pacific,-85.599248,10.837649
Pacific,-99.5894766,16.7381586
Pacific,-97.0656837,16.0147121
Pacific,-85.6081252,10.5404794
Pacific,-84.6272993,9.8533557
Pacific,-85.214,9.805
Pacific,-97.296111,16.114722
Pacific,-84.5989941,9.7607836
Pacific,-86.2120508,11.90827
Pacific,-85.4704349,9.8763504
Pacific,-103.515,18.38
Pacific,-86.2809683,12.0107217
Pacific,-92.1878662,16.1837711
Pacific,-85.0971667,9.6054954
Pacific,-84.8880339,10.2719181
Pacific,-85.6359386,10.8259717
Pacific,-101.5776665,17.6404633
Pacific,-85.1877603,10.2098673
Pacific,-99.46666667,17.35
Pacific,-103.3868086,19.1461716
Pacific,-85.5958,10.7139
Pacific,-84.5345876,10.0405859
Pacific,-84.5916015,10.0160592
Pacific,-96.128574,15.743306
Pacific,-86.191684,11.8666661
Pacific,-84.723707,10.117701
Pacific,-85.9256172,12.0312619
Pacific,-85.08545,9.6472689
Pacific,-85.2794112,9.8685609
Pacific,-85.100743,9.675516
Pacific,-84.5807701,9.7853795
Pacific,-84.9819531,9.903246
Pacific,-85.173994,10.292905
Pacific,-85.6322908,10.1319829
