species,lon,lat
Peninsula,-88.982557,19.9939689
Peninsula,-89.4897754,21.2317997
Peninsula,-87.1485823,21.0068868
Peninsula,-88.1833699,19.2046588
Peninsula,-88.440485,18.455298
Peninsula,-89.6615123,20.2054083
Peninsula,-89.7196246,21.1350186
Peninsula,-88.575801,18.2680138
Peninsula,-89.5681,21.2164205
Peninsula,-90.07847,20.46611
Peninsula,-89.3305149,20.7438944
Peninsula,-89.0501976,20.0739904
Peninsula,-87.2605741,20.499406
Peninsula,-88.5360457,20.7198113
Peninsula,-88.5790529,18.1106257
Peninsula,-88.2526758,18.2357387
Peninsula,-88.5248975,18.3051279
Peninsula,-87.373739,20.31884
Peninsula,-88.161612,20.874533
Peninsula,-89.7713422,20.3767911
Peninsula,-88.4173799,18.0633517
Peninsula,-88.4858393,18.1568931
Peninsula,-89.028319,17.9602207
Peninsula,-90.0084972,20.892815
Peninsula,-89.5511055,20.1055566
Peninsula,-89.5461541,21.1295607
Peninsula,-88.7864342,17.8267569
Peninsula,-88.5806643,18.0463795
Peninsula,-88.5144691,19.9787549
Peninsula,-88.512754,17.9615227
Peninsula,-87.643277,21.4569829
Peninsula,-88.3084439,21.0089826
Peninsula,-89.7661613,21.1381973
Peninsula,-88.1816769,21.4538675
Peninsula,-90.4378522,19.6391302
Peninsula,-88.9151889,17.8756461
Peninsula,-89.2791827,20.5495807
Peninsula,-88.0529712,20.8345869
Peninsula,-88.188658,20.838428
Peninsula,-86.723086,21.214581
Peninsula,-90.0621385,20.3112339
Peninsula,-89.772275,19.407826
Peninsula,-87.91583333,18.83361111
Peninsula,-88.988029,21.343023
Peninsula,-88.3787937,18.7166845
Peninsula,-88.9047296,20.7795314
Peninsula,-88.8135195,20.7998493
Peninsula,-87.626751,21.2556582
Peninsula,-90.182004,17.2791857
Peninsula,-88.01317,21.1601917
Peninsula,-89.3925583,21.1164715
Peninsula,-87.5989675,20.3551607
Peninsula,-90.8015728,18.6119223
Peninsula,-88.5367477,17.7338084
Peninsula,-88.4981832,18.3118257
Peninsula,-89.802693,21.152698
Peninsula,-88.7011493,17.5757194
Peninsula,-89.7863812,21.1383986
Peninsula,-87.7199078,21.1801301
Peninsula,-88.7756058,19.8788317
Peninsula,-88.8919379,19.8727296
Peninsula,-87.3270367,20.3757671
Peninsula,-89.7246109,20.8654862
Peninsula,-88.3898163,20.7586822
Peninsula,-89.2284974,20.7271322
Peninsula,-88.1587027,21.0326246
Peninsula,-89.6158232,21.257839
Peninsula,-88.7070703,17.7737392
Peninsula,-89.341231,20.539589
Peninsula,-89.561937,20.819593
Peninsula,-87.6428259,21.183706
Peninsula,-89.436875,18.093411
Peninsula,-90.02755556,20.88113888
Peninsula,-89.4958302,20.9219521
Peninsula,-88.294604,20.993785
Peninsula,-87.475866,20.281449
Peninsula,-89.629269,20.8243192
Peninsula,-89.259941,20.7339103
Peninsula,-89.5692197,20.9163627
Peninsula,-89.2724572,20.7414862
Peninsula,-89.3049581,21.1356598
Peninsula,-88.6302857,17.7354769
Peninsula,-88.2331283,18.8995211
Peninsula,-87.408963,20.2471762
Peninsula,-87.1949059,20.9811457
Peninsula,-88.528093,20.649697
Peninsula,-88.305278,18.503611
Peninsula,-87.4031603,21.3403486
Peninsula,-89.5883714,20.5803881
Peninsula,-89.6444893,20.3146868
Peninsula,-88.6086731,17.9432373
Peninsula,-89.5932239,20.7281741
Peninsula,-88.5681466,18.2836556
Peninsula,-89.153811,19.8933748
Peninsula,-89.5866173,20.7988322
Peninsula,-90.7217092,18.6204917
Peninsula,-88.9249104,21.369142
Peninsula,-89.024975,20.972483
Peninsula,-88.1866604,20.9305985
Peninsula,-89.2721034,20.7110633
Peninsula,-89.8994493,20.982678
Peninsula,-88.283684,18.1750335
Peninsula,-90.4609242,19.7404205
Peninsula,-88.2788631,20.6347845
Peninsula,-89.5674579,21.1306462
Peninsula,-89.29759,20.7370175
Peninsula,-89.213809,19.8841
Peninsula,-89.8250565,20.3595556
Peninsula,-89.0896567,21.150705
Peninsula,-88.8822811,19.9539962
Peninsula,-89.6995031,21.1690554
Peninsula,-89.444344,18.398714
Peninsula,-89.5842791,21.1414292
Peninsula,-86.8532575,20.9922217
Peninsula,-88.8630181,19.9354603
Peninsula,-89.0841538,18.4924963
Peninsula,-89.6475792,20.2481861
Peninsula,-89.5751286,21.2254447
Peninsula,-88.4518664,18.3234242
Peninsula,-89.205884,20.754987
Peninsula,-88.1308758,21.474551
Peninsula,-89.165487,20.039792
Peninsula,-88.4742574,20.6948544
Peninsula,-89.7042774,20.6246475
Peninsula,-89.7572708,20.3800325
Peninsula,-89.5207216,20.9847149
Peninsula,-87.5911115,20.6373665
Peninsula,-87.4447957,20.9015076
Peninsula,-89.5308354,20.9895563
Peninsula,-87.8356934,19.8351846
Peninsula,-88.7399304,17.7515496
Peninsula,-89.328596,21.295348
